exeution_time,device_id,value
0,033b5620-60a9-49f9-8419-1e79c7c19b97,0
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,0
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,15
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,57
1,43a50b16-34ca-42f0-998d-835efb291567,64
1,94594bd0-4789-4258-981b-c5f8a517c47f,4
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,15
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,40
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,50
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,75
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,90
1,43a50b16-34ca-42f0-998d-835efb291567,80
1,94594bd0-4789-4258-981b-c5f8a517c47f,75
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,17
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,86
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-7
3,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,11
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,90
0,43a50b16-34ca-42f0-998d-835efb291567,93
1,94594bd0-4789-4258-981b-c5f8a517c47f,63
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,79
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,19
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-1
2,d564aab8-09d2-4885-95cd-24ff936d635c,true
0,033b5620-60a9-49f9-8419-1e79c7c19b97,100
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,10
1,43a50b16-34ca-42f0-998d-835efb291567,93
1,94594bd0-4789-4258-981b-c5f8a517c47f,63
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,86
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,19
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-1
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,64
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,38
1,43a50b16-34ca-42f0-998d-835efb291567,72
1,94594bd0-4789-4258-981b-c5f8a517c47f,38
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,86
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,14
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,-1
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,64
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,38
